areaId,ms_x,ms_y,RU5,RU6,RU9,RU11,RU12
1,-7.77217,5.3276,-52.842,-105,-105,-105,-105
1,-7.27217,5.3276,-78.9291,-105,-105,-105,-105
1,-6.77217,5.3276,-62.7228,-105,-105,-105,-105
1,-6.27217,5.3276,-51.2067,-104.7534,-105,-105,-105
1,-5.77217,5.3276,-36.6174,-105,-105,-105,-105
1,-5.27217,5.3276,-40.083,-105,-105,-105,-105
1,-4.77217,5.3276,-26.5062,-105,-105,-105,-105
1,-4.27217,5.3276,-74.0523,-102.1113,-105,-105,-105
1,-3.77217,5.3276,-28.5849,-105,-105,-105,-105
1,-3.27217,5.3276,-31.5597,-98.8263,-105,-105,-105
1,-2.77217,5.3276,-51.8376,-105,-105,-105,-105
1,-2.27217,5.3276,-9.5373,-105,-105,-105,-105
1,-1.77217,5.3276,-14.682,-105,-105,-105,-105
1,-1.27217,5.3276,-17.1768,-95.0079,-105,-105,-105
1,-0.772169,5.3276,-33.8697,-80.8785,-105,-105,-105
1,-0.272169,5.3276,-14.5515,-48.324,-105,-105,-105
1,-7.77217,5.8276,-21.3294,-105,-105,-105,-105
1,-7.27217,5.8276,-30.7059,-105,-105,-105,-105
1,-6.77217,5.8276,-56.5425,-105,-105,-105,-105
1,-6.27217,5.8276,-51.2982,-105,-105,-105,-105
1,-5.77217,5.8276,-24.8493,-105,-105,-105,-105
1,-5.27217,5.8276,-31.0878,-105,-105,-105,-105
1,-4.77217,5.8276,-28.8567,-105,-105,-105,-105
1,-4.27217,5.8276,-24.6156,-105,-105,-105,-105
1,-3.77217,5.8276,-14.4915,-105,-105,-105,-105
1,-3.27217,5.8276,-38.3508,-105,-105,-105,-105
1,-2.77217,5.8276,-16.977,-105,-105,-105,-105
1,-2.27217,5.8276,-15.6675,-97.4253,-105,-105,-105
1,-1.77217,5.8276,-52.7145,-83.8194,-105,-105,-105
1,-1.27217,5.8276,-27.3471,-84.0159,-105,-105,-105
1,-0.772169,5.8276,-42.5397,-74.187,-105,-105,-105
1,-0.272169,5.8276,-19.9416,-89.3496,-105,-105,-105
1,-7.77217,6.3276,-32.8368,-105,-105,-105,-105
1,-7.27217,6.3276,-18.4476,-105,-105,-105,-105
1,-6.77217,6.3276,-31.9566,-105,-105,-105,-105
1,-6.27217,6.3276,-44.1603,-105,-105,-105,-105
1,-5.77217,6.3276,-26.6316,-105,-105,-105,-105
1,-5.27217,6.3276,-35.3955,-103.101,-105,-105,-105
1,-4.77217,6.3276,-70.4046,-105,-105,-105,-105
1,-4.27217,6.3276,-29.9871,-104.3223,-105,-105,-105
1,-3.77217,6.3276,-27.4425,-100.9374,-105,-105,-105
1,-3.27217,6.3276,-21.1449,-105,-105,-105,-105
1,-2.77217,6.3276,-24.7608,-102.3591,-105,-105,-105
1,-2.27217,6.3276,-22.1847,-105,-105,-105,-105
1,-1.77217,6.3276,-79.9422,-99.834,-105,-105,-105
1,-1.27217,6.3276,-16.5276,-97.6728,-105,-105,-105
1,-0.772169,6.3276,-28.6731,-105,-105,-105,-105
1,-0.272169,6.3276,-16.101,-76.4868,-105,-105,-105
1,-7.77217,6.8276,-16.6215,-105,-105,-105,-105
1,-7.27217,6.8276,-47.6391,-105,-105,-105,-105
1,-6.77217,6.8276,-48.0075,-105,-105,-105,-105
1,-6.27217,6.8276,-40.3884,-105,-105,-105,-105
1,-5.77217,6.8276,-36.909,-105,-105,-105,-105
1,-5.27217,6.8276,-43.0494,-103.3461,-105,-105,-105
1,-4.77217,6.8276,-58.2951,-105,-105,-105,-105
1,-4.27217,6.8276,-48.0963,-105,-105,-105,-105
1,-3.77217,6.8276,-39.4359,-105,-105,-105,-105
1,-3.27217,6.8276,-35.2698,-105,-105,-105,-105
1,-2.77217,6.8276,-50.3667,-105,-105,-105,-105
1,-2.27217,6.8276,-20.3664,-105,-105,-105,-105
1,-1.77217,6.8276,-31.1799,-105,-105,-105,-105
1,-1.27217,6.8276,-22.0215,-100.6101,-105,-105,-105
1,-0.772169,6.8276,-51.8883,-81.9462,-105,-105,-105
1,-0.272169,6.8276,-17.4882,-105,-105,-105,-105
1,-7.77217,7.3276,-45.9405,-105,-105,-105,-105
1,-7.27217,7.3276,-30.0831,-105,-105,-105,-105
1,-6.77217,7.3276,-64.644,-105,-105,-105,-105
1,-6.27217,7.3276,-39.7035,-105,-105,-105,-105
1,-5.77217,7.3276,-33.7185,-105,-105,-105,-105
1,-5.27217,7.3276,-75.9111,-105,-105,-105,-105
1,-4.77217,7.3276,-38.5257,-101.9982,-105,-105,-105
1,-4.27217,7.3276,-30.3741,-105,-105,-105,-105
1,-3.77217,7.3276,-47.817,-105,-105,-105,-105
1,-3.27217,7.3276,-65.2872,-105,-105,-105,-105
1,-2.77217,7.3276,-62.7552,-105,-105,-105,-105
1,-2.27217,7.3276,-39.4989,-88.4193,-105,-105,-105
1,-1.77217,7.3276,-32.9922,-105,-105,-105,-105
1,-1.27217,7.3276,-18.9306,-93.8256,-105,-105,-105
1,-0.772169,7.3276,-24.7059,-88.6827,-105,-105,-105
1,-0.272169,7.3276,-30.6561,-105,-105,-105,-105
1,-7.77217,7.8276,-25.6614,-105,-105,-105,-105
1,-7.27217,7.8276,-65.0922,-105,-105,-105,-105
1,-6.77217,7.8276,-45.015,-105,-105,-105,-105
1,-6.27217,7.8276,-80.7063,-105,-105,-105,-105
1,-5.77217,7.8276,-56.8536,-105,-105,-105,-105
1,-5.27217,7.8276,-25.6314,-105,-105,-105,-105
1,-4.77217,7.8276,-26.7795,-105,-105,-105,-105
1,-4.27217,7.8276,-52.0206,-92.6271,-105,-105,-105
1,-3.77217,7.8276,-32.7231,-105,-105,-105,-105
1,-3.27217,7.8276,-47.6019,-96.5625,-105,-105,-105
1,-2.77217,7.8276,-28.2684,-105,-105,-105,-105
1,-2.27217,7.8276,-22.0725,-105,-105,-105,-105
1,-1.77217,7.8276,-29.9319,-105,-105,-105,-105
1,-1.27217,7.8276,-59.2413,-90.186,-105,-105,-105
1,-0.772169,7.8276,-22.7877,-105,-105,-105,-105
1,-0.272169,7.8276,-28.656,-91.2429,-105,-105,-105
1,-7.77217,8.3276,-105,-105,-105,-105,-105
1,-7.27217,8.3276,-48.6828,-105,-105,-105,-105
1,-6.77217,8.3276,-44.6556,-105,-105,-105,-105
1,-6.27217,8.3276,-64.1877,-105,-105,-105,-105
1,-5.77217,8.3276,-38.5914,-105,-105,-105,-105
1,-5.27217,8.3276,-46.0257,-105,-105,-105,-105
1,-4.77217,8.3276,-60.0357,-105,-105,-105,-105
1,-4.27217,8.3276,-55.4838,-92.5095,-105,-105,-105
1,-3.77217,8.3276,-41.2023,-105,-105,-105,-105
1,-3.27217,8.3276,-46.287,-105,-105,-105,-105
1,-2.77217,8.3276,-42.5319,-104.4021,-105,-105,-105
1,-2.27217,8.3276,-73.6929,-105,-105,-105,-105
1,-1.77217,8.3276,-35.9751,-105,-105,-105,-105
1,-1.27217,8.3276,-19.9038,-91.3401,-105,-105,-105
1,-0.772169,8.3276,-33.7173,-105,-105,-105,-105
1,-0.272169,8.3276,-36.4218,-105,-105,-105,-105
1,-7.77217,8.8276,-40.0311,-105,-105,-105,-105
1,-7.27217,8.8276,-37.2312,-105,-105,-105,-105
1,-6.77217,8.8276,-54.2397,-105,-105,-105,-105
1,-6.27217,8.8276,-61.7016,-105,-105,-105,-105
1,-5.77217,8.8276,-88.0629,-105,-105,-105,-105
1,-5.27217,8.8276,-75.5916,-105,-105,-105,-105
1,-4.77217,8.8276,-66.3774,-105,-105,-105,-105
1,-4.27217,8.8276,-37.8432,-105,-105,-105,-105
1,-3.77217,8.8276,-67.3029,-97.899,-105,-105,-105
1,-3.27217,8.8276,-35.1078,-105,-105,-105,-105
1,-2.77217,8.8276,-41.3103,-105,-105,-105,-105
1,-2.27217,8.8276,-35.661,-91.1787,-105,-105,-105
1,-1.77217,8.8276,-45.0768,-91.9602,-105,-105,-105
1,-1.27217,8.8276,-56.7759,-103.9476,-105,-105,-105
1,-0.772169,8.8276,-25.0392,-96.0717,-105,-105,-105
1,-0.272169,8.8276,-50.7543,-85.8444,-105,-105,-105
1,-7.77217,9.3276,-54.1569,-105,-105,-105,-105
1,-7.27217,9.3276,-38.3931,-105,-105,-105,-105
1,-6.77217,9.3276,-73.2345,-105,-105,-105,-105
1,-6.27217,9.3276,-43.8501,-105,-105,-105,-105
1,-5.77217,9.3276,-47.7249,-105,-105,-105,-105
1,-5.27217,9.3276,-36.2397,-105,-105,-105,-105
1,-4.77217,9.3276,-68.0748,-105,-105,-105,-105
1,-4.27217,9.3276,-50.2845,-105,-105,-105,-105
1,-3.77217,9.3276,-44.3526,-105,-105,-105,-105
1,-3.27217,9.3276,-40.2921,-105,-105,-105,-105
1,-2.77217,9.3276,-41.7849,-102.9849,-105,-105,-105
1,-2.27217,9.3276,-31.3956,-105,-105,-105,-105
1,-1.77217,9.3276,-34.6914,-89.3475,-105,-105,-105
1,-1.27217,9.3276,-32.9949,-100.6833,-105,-105,-105
1,-0.772169,9.3276,-35.1624,-88.1337,-105,-105,-105
1,-0.272169,9.3276,-55.395,-100.1379,-105,-105,-105
1,-7.77217,9.8276,-68.379,-105,-105,-105,-105
1,-7.27217,9.8276,-69.147,-105,-105,-105,-105
1,-6.77217,9.8276,-32.511,-105,-105,-105,-105
1,-6.27217,9.8276,-40.9782,-105,-105,-105,-105
1,-5.77217,9.8276,-74.4741,-105,-105,-105,-105
1,-5.27217,9.8276,-42.1254,-105,-105,-105,-105
1,-4.77217,9.8276,-54.2262,-105,-105,-105,-105
1,-4.27217,9.8276,-58.1685,-105,-105,-105,-105
1,-3.77217,9.8276,-27.4752,-98.4945,-105,-105,-105
1,-3.27217,9.8276,-55.6683,-99.0612,-105,-105,-105
1,-2.77217,9.8276,-39.9459,-105,-105,-105,-105
1,-2.27217,9.8276,-39.4389,-105,-105,-105,-105
1,-1.77217,9.8276,-49.5318,-105,-105,-105,-105
1,-1.27217,9.8276,-54.2199,-86.0955,-105,-105,-105
1,-0.772169,9.8276,-65.4471,-105,-105,-105,-105
1,-0.272169,9.8276,-67.896,-100.836,-105,-105,-105
1,-7.77217,10.3276,-41.0058,-105,-105,-105,-105
1,-7.27217,10.3276,-46.9803,-105,-105,-105,-105
1,-6.77217,10.3276,-39.0603,-105,-105,-105,-105
1,-6.27217,10.3276,-46.2492,-105,-105,-105,-105
1,-5.77217,10.3276,-49.5135,-105,-105,-105,-105
1,-5.27217,10.3276,-45.7383,-105,-105,-105,-105
1,-4.77217,10.3276,-32.3406,-105,-105,-105,-105
1,-4.27217,10.3276,-41.3643,-105,-105,-105,-105
1,-3.77217,10.3276,-45.0186,-105,-105,-105,-105
